entry_time,exit_time,direction,lots,entry_price,exit_price,sl,tp,pnl,exit_reason,strategy,bars_held
2025-08-04 14:00:00,2025-08-04 19:00:00,BUY,0.5,0.64818,0.64614,0.64618,0.65218,-102.0,SL,regime_weighted_vote,5
2025-08-05 12:00:00,2025-08-05 19:00:00,SELL,0.49,0.64571,0.64775,0.64771,0.64171,-99.96,SL,regime_weighted_vote,7
2025-08-05 20:00:00,2025-08-07 07:00:00,BUY,0.48,0.64748,0.65144,0.64548,0.65148,190.08,TP,regime_weighted_vote,35
2025-08-07 11:00:00,2025-08-07 17:00:00,BUY,0.49,0.65308,0.65104,0.65108,0.65708,-99.96,SL,regime_weighted_vote,6
2025-08-08 07:00:00,2025-08-11 15:00:00,BUY,0.49,0.65216,0.65012,0.65016,0.65616,-99.96,SL,regime_weighted_vote,32
2025-08-12 06:00:00,2025-08-12 08:00:00,BUY,0.48,0.65182,0.64978,0.64982,0.65582,-97.92,SL,regime_weighted_vote,2
2025-08-11 15:00:00,2025-08-12 18:00:00,SELL,0.48,0.65055,0.65259,0.65255,0.64655,-97.92,SL,regime_weighted_vote,27
2025-08-13 03:00:00,2025-08-14 04:00:00,BUY,0.47,0.65252,0.65648,0.65052,0.65652,186.12,TP,regime_weighted_vote,25
2025-08-14 05:00:00,2025-08-14 09:00:00,BUY,0.48,0.65576,0.65372,0.65376,0.65976,-97.92,SL,regime_weighted_vote,4
2025-08-14 10:00:00,2025-08-14 16:00:00,SELL,0.48,0.65318,0.64922,0.65518,0.64918,190.08,TP,regime_weighted_vote,6
2025-08-14 16:00:00,2025-08-15 10:00:00,SELL,0.49,0.64905,0.65109,0.65105,0.64505,-99.96,SL,regime_weighted_vote,18
2025-08-15 15:00:00,2025-08-18 17:00:00,BUY,0.48,0.65157,0.64953,0.64957,0.65557,-97.92,SL,regime_weighted_vote,26
2025-08-18 15:00:00,2025-08-19 17:00:00,SELL,0.48,0.65065,0.64669,0.65265,0.64665,190.08,TP,regime_weighted_vote,26
2025-08-19 18:00:00,2025-08-21 08:00:00,SELL,0.49,0.64573,0.64177,0.64773,0.64173,194.04,TP,regime_weighted_vote,38
2025-08-21 15:00:00,2025-08-22 17:00:00,SELL,0.5,0.64193,0.64397,0.64393,0.63793,-102.0,SL,regime_weighted_vote,26
2025-08-22 17:00:00,2025-08-25 04:00:00,BUY,0.49,0.64929,0.64725,0.64729,0.65329,-99.96,SL,regime_weighted_vote,11
2025-08-26 05:00:00,2025-08-26 19:00:00,SELL,0.49,0.64796,0.65,0.64996,0.64396,-99.96,SL,regime_weighted_vote,14
2025-08-25 06:00:00,2025-08-27 11:00:00,BUY,0.49,0.64868,0.64664,0.64668,0.65268,-99.96,SL,regime_weighted_vote,53
2025-08-27 11:00:00,2025-08-27 18:00:00,SELL,0.48,0.64698,0.64902,0.64898,0.64298,-97.92,SL,regime_weighted_vote,7
2025-08-28 00:00:00,2025-08-29 17:00:00,BUY,0.47,0.65017,0.65413,0.64817,0.65417,186.12,TP,regime_weighted_vote,41
2025-08-29 20:00:00,2025-09-02 10:00:00,BUY,0.48,0.65436,0.65232,0.65236,0.65836,-97.92,SL,regime_weighted_vote,38
2025-09-02 05:00:00,2025-09-02 10:00:00,SELL,0.48,0.65441,0.65045,0.65641,0.65041,190.08,TP,regime_weighted_vote,5
2025-09-02 11:00:00,2025-09-03 12:00:00,SELL,0.49,0.65124,0.65328,0.65324,0.64724,-99.96,SL,regime_weighted_vote,25
2025-09-03 05:00:00,2025-09-04 17:00:00,BUY,0.48,0.65205,0.65001,0.65005,0.65605,-97.92,SL,regime_weighted_vote,36
2025-09-04 14:00:00,2025-09-05 08:00:00,SELL,0.48,0.65154,0.65358,0.65354,0.64754,-97.92,SL,regime_weighted_vote,18
2025-09-05 03:00:00,2025-09-05 15:00:00,BUY,0.47,0.65262,0.65658,0.65062,0.65662,186.12,TP,regime_weighted_vote,12
2025-09-05 15:00:00,2025-09-05 17:00:00,BUY,0.48,0.65716,0.65512,0.65516,0.66116,-97.92,SL,regime_weighted_vote,2
2025-09-05 17:00:00,2025-09-08 16:00:00,BUY,0.48,0.65568,0.65964,0.65368,0.65968,190.08,TP,regime_weighted_vote,23
2025-09-08 16:00:00,2025-09-10 17:00:00,BUY,0.49,0.65898,0.66294,0.65698,0.66298,194.04,TP,regime_weighted_vote,49
2025-09-10 17:00:00,2025-09-11 00:00:00,BUY,0.5,0.66282,0.66078,0.66082,0.66682,-102.0,SL,regime_weighted_vote,7
